url,text
https://twitter.com/realDonaldTrump/status/981492087328792577,"We are not in a trade war with China, that war was lost many years ago by the foolish, or incompetent, people who represented the U.S. Now we have a Trade Deficit of $500 Billion a year, with Intellectual Property Theft of another $300 Billion. We cannot let this continue!"
https://twitter.com/rcallimachi/status/898265827459420160,"10. BREAKING: The Islamic State has claimed credit for the attack in Barcelona, via their Amaq News Agency:"
https://twitter.com/NYCTSubway/status/1031562440251793409,"A new one for us (we think): Two goats are roaming along the N line tracks in Brooklyn. They’re safe and not currently affecting service, but they are on the run. We’ll keep you posted."
https://twitter.com/samstein/status/931215736927899648,NEW FRANKEN STATEMENT
https://twitter.com/alexis_levinson/status/851546712065945605,Trump goes full Trump in his robocall for Ron Estes in 
https://twitter.com/realDonaldTrump/status/1075878792168685568,"General Jim Mattis will be retiring, with distinction, at the end of February, after having served my Administration as Secretary of Defense for the past two years. During Jim’s tenure, tremendous progress has been made, especially with respect to the purchase of new fighting...."
https://twitter.com/Phil_Mattingly/status/867494294197858304,.
https://twitter.com/jaketapper/status/1075088102044127238,"Judge Sullivan later walked this back: ""I made a statement about Mr. Flynn acting as a foreign agent in the White House"" and says he realizes that was incorrect. Prosecutor Van Grack says the foreign lobbying Flynn did ended before the Trump administration began. "
https://twitter.com/KTVBJoe/status/1025377752583532544,#
https://twitter.com/TODAYshow/status/922451357956820994,“O’Reilly’s suggestion that no one ever complained about his behavior is false. I know because I complained.” 
https://twitter.com/burgessev/status/1045482455078236163,"Donnelly, Manchin, Murkowski and Collins are all expected to vote the same way, per senators and aides"
https://twitter.com/lrozen/status/885860328722112513,"akhmetshin 2me: ""what a clusterf***. my client got in the middle of this & now i am getting dragged into this.""
"
https://twitter.com/realdonaldtrump/status/947802588174577664,"The United States has foolishly given Pakistan more than 33 billion dollars in aid over the last 15 years, and they have given us nothing but lies & deceit, thinking of our leaders as fools. They give safe haven to the terrorists we hunt in Afghanistan, with little help. No more!"
https://twitter.com/Olivianuzzi/status/991475701168697346,"Our current political era is neatly summed up by Alex Jones approvingly turning Kanye West quotes into memes and stamping them with the Infowars logo, and Roger Stone faving them on Instagram."
https://twitter.com/DylanByers/status/978655924502933504,NEW: Mark Zuckerberg *will* testify. Scoop in today’s PACIFIC. 
https://twitter.com/WhiteHouse/status/885202925370224641,"The Congressional Budget Office's math doesn't add up.

Faulty Numbers = Faulty Results"
https://twitter.com/elonmusk/status/870369915894546432,Am departing presidential councils. Climate change is real. Leaving Paris is not good for America or the world.
https://twitter.com/billpeduto/status/870370288344674304,"As the Mayor of Pittsburgh, I can assure you that we will follow the guidelines of the Paris Agreement for our people, our economy & future."
https://twitter.com/SenJohnMcCain/status/911290557191921664,I cannot in good conscience vote for Graham-Cassidy. A bill impacting so many lives deserves a bipartisan approach. 
https://twitter.com/JustinWolfers/status/911295144112136192,"Based on recent trends, we now have another 4-5 days of calm before the next ill-considered ACA repeal attempt."
https://twitter.com/realDonaldTrump/status/1150381395078000643,"....and viciously telling the people of the United States, the greatest and most powerful Nation on earth, how our government is to be run. Why don’t they go back and help fix the totally broken and crime infested places from which they came. Then come back and show us how...."
https://twitter.com/realDonaldTrump/status/1062391577807601664?ref_src=twsrc%5Egoogle%7Ctwcamp%5Enews%7Ctwgr%5Etweet,"The story in the New York Times concerning North Korea developing missile bases is inaccurate. We fully know about the sites being discussed, nothing new - and nothing happening out of the normal. Just more Fake News. I will be the first to let you know if things go bad!"
https://twitter.com/KellyCrowWSJ/status/1063235243610652672,"New record for a living artist as David Hockney's 'Portrait of an Artist (Pool with Two Figures)' sells for $80m hammer, or $90.3m w/ "
https://twitter.com/gabrielsherman/status/898590722391236609,Source close to Bannon confirms Bannon expected to return to Breitbart after a WH exit
https://twitter.com/BrandonRittiman/status/948928646152044549,Video from Colorado in 2016
https://twitter.com/netanyahu/status/1165377368220942337?ref_src=twsrc%5Egoogle%7Ctwcamp%5Enews%7Ctwgr%5Etweet,"In a major operational effort, we have thwarted an attack against Israel by the Iranian Quds Force & Shi'ite militias. I reiterate: Iran has no immunity anywhere. Our forces operate in every sector against the Iranian aggression. “If someone rises up to kill you, kill him first.”"
https://twitter.com/NWSSacramento/status/876884871079014400,"After 1 hour, "
https://twitter.com/IndivisibleTeam/status/964241515081068544,"Rounds-King would have prevented immigrant families from staying together, and would have provided billions of dollars in funding for Trump’s wall and for additional raids by ICE and CBP. That is not a compromise - that is more of Trump’s white supremacist agenda in action. 3/"
https://twitter.com/ajplus/status/1052339455325917185,"The CDC received 127 reports of suspected cases of AFM, a polio-like condition that affects the nervous system and can cause paralysis, across 22 states. 
"
https://twitter.com/msrikris/status/1052209538219143169,"Mexico immigration officials warn that those from caravan who didn’t get visas from consulate in Honduras will not be allowed to enter Mexico. In April, when another larger migrant caravan traveled through Mexico, they were given transit/humanitarian visas"
https://twitter.com/Reuters/status/850425431899680768,"JUST IN: Syrian warplanes take off from air base hit by U.S., carry out strikes in Homs countryside - Syrian observatory for human rights"
https://twitter.com/DouthatNYT/status/874029643187224578,Imagine a Bloomberg-Zuckerberg 3rd party winning the WH and 75 Senate seats; that's basically France right now:
https://twitter.com/APDiploWriter/status/874374011945455616,MOSCOW (AP) - 
https://twitter.com/realDonaldTrump/status/930087113764327424,"Happy to announce, I am nominating Alex Azar to be the next HHS Secretary. He will be a star for better healthcare and lower drug prices!"
https://twitter.com/DavidWright_CNN/status/1072179448965984256,"Asked how close he is to declaring a 2020 presidential bid, Colorado Gov. John Hickenlooper said this morning on CNN that he's at ""probably 63%, 64%"""
https://twitter.com/realDonaldTrump/status/1067395266511347713,"The Phony Witch Hunt continues, but Mueller and his gang of Angry Dems are only looking at one side, not the other. Wait until it comes out how horribly & viciously they are treating people, ruining lives for them refusing to lie. Mueller is a conflicted prosecutor gone rogue...."
https://twitter.com/wikileaks/status/1067430101548027906,Remember this day when the Guardian permitted a serial fabricator to totally destroy the paper's reputation. 
https://twitter.com/realDonaldTrump/status/1117844987293487104,So horrible to watch the massive fire at Notre Dame Cathedral in Paris. Perhaps flying water tankers could be used to put it out. Must act quickly!
https://twitter.com/MSNBC/status/1080574136865435665,"NEW: ""We can go through the back and forth. No. How many more times can we say no? Nothing for the wall,"" Rep. Pelosi tells "
https://twitter.com/davidpwhelan/status/1080067463323226112,"My brother was detained by the Russian government on Friday as an alleged spy.  While the law library + info focus will remain, you may see an increase in off-message topics until we get him safely home."
https://twitter.com/NBCNightlyNews/status/862713274676072448,"BREAKING: I was going to fire Comey anyway, Pres. Trump tells "
https://twitter.com/BraddJaffy/status/862804764278616065,"Trump: “when I decided to just do it, I said to myself, I said you know, this Russia thing with Trump and Russia is a made up story”"
https://twitter.com/TheRock/status/713338883187032064,Cool piece on why I should run for President. Maybe one day. Surely the White House has a spot for my pick up truck..
https://twitter.com/sethmoulton/status/865238855800279040,"As the Representative of Salem, MA, I can confirm that this is false."
https://twitter.com/gabrielsherman/status/865222490007666688,Sources briefed on federal investigation of Fox News told me US Attorneys office says probe continues even after Ailes's death
https://twitter.com/NHC_Atlantic/status/1049311785713655809,#
https://twitter.com/marcorubio/status/974368677540892673,Just spoke to 
https://twitter.com/KTVBJoe/status/1025377752583532544,#
https://twitter.com/MichelleRempel/status/1058036721680596993,Canada’s Conservatives oppose Trudeau’s immigration levels. Here’s why. 
https://twitter.com/JonCampbellGAN/status/1062406101713518592,"NYC is giving about $1.3 billion in tax breaks too, Cuomo just said at a press conference. 

Up to $1.7B in state credits/grants + $1.3 billion in city tax breaks = $3 billion."
https://twitter.com/tictoc/status/1062536783022514177,"Going once, going twice, sold.

The ""Pink Legacy"" 19-carat diamond has set a new record, selling for $50,375,000"
https://twitter.com/realDonaldTrump/status/1078638249562775552,".....Honduras, Guatemala and El Salvador are doing nothing for the United States but taking our money. Word is that a new Caravan is forming in Honduras and they are doing nothing about it. We will be cutting off all aid to these 3 countries - taking advantage of U.S. for years!"
https://twitter.com/realDonaldTrump/status/1061168803218948096?ref_src=twsrc%5Egoogle%7Ctwcamp%5Enews%7Ctwgr%5Etweet,"There is no reason for these massive, deadly and costly forest fires in California except that forest management is so poor. Billions of dollars are given each year, with so many lives lost, all because of gross mismanagement of the forests. Remedy now, or no more Fed payments!"
https://twitter.com/sahilkapur/status/877961191355797505,"Susan Collins stops short of calling Planned Parenthood defunding language a dealbreaker for her, saying she and Murkowski want it removed."
https://twitter.com/ShaneGoldmacher/status/864595782275653633,No one at the White House willing to put their name on this statement
